Mine,Country,Parent,Type,Revenue,Emissions,Intensity,Break-even Price,Carbon Cost % @$100,Underwater @$100
El Salvador Mine,CHL,Codelco Corp,Both,54738392.0,216433.0,0.3005003873698007,75.87344628591758,39.53952465392114,True
Sepon Mine,LAO,Chifeng Jilong Gold Mining Co Ltd,Open Pit,30400000.0,110560.0,0.2764,82.4891461649783,36.368421052631575,True
Las Cruces Mine,ESP,Cobre Las Cruces SA,Open Pit,2708336.000250223,5000.000000461951,0.1403075541587159,162.50015999999997,18.461520284041573,False
Deflector Operation,AUS,Silver Lake Resources Ltd,Underground,80973896.0,105373.0,0.0989003666070359,230.53504028546212,13.013206132504726,False
Tenke Fungurume Mine,COD,CMOC Group Ltd,Open Pit,1079139200.0,1340404.0,0.0943999661952786,241.52551021930702,12.42104818358929,False
Eloise Mine,AUS,AIC Mines Ltd,Underground,43654400.0,46469.0,0.080900069637883,281.82917644020745,10.644746004984606,False
Palito Mine,BRA,Serabi Gold PLC,Underground,13518120.0,13767.0,0.0773992241524709,294.57659620832425,10.184108441114594,False
Nova Mine,AUS,IGO Ltd,Underground,114007676.00000001,111007.0,0.0739996840212759,308.1094237300351,9.736800529115248,False
Kainantu Mine,PNG,K92 Holdings International Ltd,Underground,38480168.27985684,34176.000248553675,0.0674990816048412,337.7823735955056,8.88145810590016,False
Batu Hijau Mine,IDN,PT Amman Mineral Internasional Tbk,Open Pit,873495442.3527185,681556.0049567898,0.0592999732628253,384.48583946146766,7.8026280608980745,False
OroValle Mine,ESP,Orvana Minerals Corp,Underground,56391544.00521002,36803.00000340023,0.0496001315374517,459.67620030975735,6.526333097033129,False
Aranzazu Mine,MEX,Aura Minerals Inc,Both,92523312.0,55757.0,0.0457996142637003,497.82078662768794,6.026265034697418,False
Kansuki Mine,COD,Qatar Investment Authority,Open Pit,124689552.0,74650.0,0.045500203577602,501.09665907568655,5.986868891789747,False
Mashamba East Mine,COD,,Open Pit,344613488.0,206315.0,0.0455000763057771,501.0980607323752,5.986852145496986,False
Lomas Bayas Mine,CHL,Glencore PLC,Open Pit,1734895700.0,1038655.0,0.0455000147847504,501.09873827209225,5.98684405062506,False
Antapaccay Mine,PER,Qatar Investment Authority,Open Pit,3112399880.0,1863345.0,0.0455000081801828,501.0988110092334,5.986843181603001,False
Raglan Operation,CAN,Qatar Investment Authority,Underground,52050804.22272884,31162.000133344263,0.0455000080306156,501.09881265644054,5.986843161923108,False
Mutanda Mine,COD,Glencore PLC,Open Pit,512916400.00000006,307075.0,0.0455000074086147,501.0988195066352,5.986843080080885,False
Mount Isa Operation,AUS,Government of Qatar,Both,342000000.0,204750.0,0.0455,501.0989010989011,5.9868421052631575,False
Kidd Creek Mine,CAN,Qatar Investment Authority,Underground,102600000.4390322,61425.00026284164,0.0455,501.0989010989011,5.9868421052631575,False
Dolinny Mine,KAZ,Qatar Investment Authority,Underground,68400000.29268813,40950.00017522776,0.0455,501.0989010989011,5.9868421052631575,False
Maleyevskiy Mine,KAZ,Qatar Investment Authority,Underground,121600000.52033445,72800.00031151602,0.0455,501.0989010989011,5.9868421052631575,False
Ridder-Sokolny Mine,KAZ,Qatar Investment Authority,Underground,129960000.55610745,77805.00033293274,0.0455,501.0989010989011,5.9868421052631575,False
Tishinsky Mine,KAZ,Qatar Investment Authority,Underground,41594572.17798593,24902.00010655731,0.0454999753333199,501.0991727572082,5.98683885964736,False
KOV Mine,COD,,Both,370711584.0,221939.0,0.0454999647380859,501.0992894443969,5.986837465537629,False
Sudbury INO Operation,CAN,Qatar Investment Authority,Underground,108807680.46559528,65141.00027874266,0.0454996926687527,501.1022858107797,5.986801666941157,False
Kamoto Mine,COD,,Underground,44344632.0,26548.0,0.0454992613311121,501.10703631158657,5.986744911988445,False
Kansanshi Mine,ZMB,First Quantum Minerals Ltd,Open Pit,1771788000.0,1058410.0,0.0453999914210955,502.2027380693682,5.973683081723095,False
Broken Hill Operation,AUS,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,Underground,22587656.0,13374.0,0.0449990915392017,506.6768954688201,5.92093309726339,False
Arista Mine,MEX,,Underground,34816436.0,19653.0,0.0429000831676165,531.4675011448634,5.644747785212708,False
