Company,HQ Country,Mines,Total Emissions (tCO₂),Production (t),$50/t,$100/t,$150/t,$200/t,Portfolio Intensity
FreePort-McMoran Inc,USA,11,4858750.019972275,468335534.5532009,242937500.99861374,485875001.9972275,728812502.9958413,971750003.994455,0.010374506441428996
Government of Iran,IRN,3,4844844.999999998,201868551.99999994,242242249.9999999,484484499.9999998,726726749.9999998,968968999.9999996,0.023999998771477786
Qatar Investment Authority,QAT,11,2318213.0016011624,52153138.035190426,115910650.08005813,231821300.16011626,347731950.24017435,463642600.3202325,0.044450115351389666
Kazakhmys Holding LLP,KAZ,4,2262216.0398679753,403967129.97642404,113110801.99339876,226221603.98679754,339332405.9801963,452443207.9735951,0.005600000277250282
The Vanguard Group Inc,USA,14,2091091.0002512215,461844775.0430324,104554550.01256108,209109100.02512217,313663650.03768325,418218200.0502443,0.00452769223178152
Zijin Mining Group Co Ltd,CHN,10,1641364.4283497497,103724302.50632064,82068221.41748747,164136442.83497494,246204664.25246242,328272885.6699499,0.01582429950058936
Eurasian Resources Group SARL,LUX,5,1400075.2962016803,152311045.6605602,70003764.81008402,140007529.62016803,210011294.43025205,280015059.24033606,0.009192211176344247
First Quantum Minerals Ltd,CAN,5,1384564.0000757384,143200000.5469951,69228200.00378692,138456400.00757384,207684600.01136076,276912800.0151477,0.009668742980356028
Glencore PLC,CHE,2,1345730.0,29576475.0,67286500.0,134573000.0,201859500.0,269146000.0,0.04550001310162891
Government of Poland,POL,6,1203982.0017567272,94061202.13724463,60199100.08783636,120398200.17567272,180597300.2635091,240796400.35134545,0.012799985269165474
Government of Kazakhstan,KAZ,1,739729.0132279504,132094466.64784828,36986450.66139752,73972901.32279505,110959351.98419257,147945802.6455901,0.005600000000000001
PT Amman Mineral Internasional Tbk,IDN,1,681556.0049567898,11493361.0835884,34077800.24783949,68155600.49567898,102233400.74351849,136311200.99135795,0.05929997326282537
Barrick Gold Corp,CAN,3,648374.0,46431000.0,32418700.0,64837400.0,97256100.0,129674800.0,0.013964248023949516
Newmont Corp,USA,5,632465.0004417291,91316709.03108628,31623250.022086453,63246500.044172905,94869750.06625937,126493000.08834581,0.006926059941849455
China RAILWAY Group Ltd,CHN,2,473430.0,11435508.0,23671500.0,47343000.0,71014500.0,94686000.0,0.04139999727165597
Blackrock Advisors LLC,AUS,1,392592.0,130864000.0,19629600.0,39259200.0,58888800.0,78518400.0,0.003
Grupo México SAB de CV,MEX,7,380795.00001848437,147890173.0046211,19039750.00092422,38079500.00184844,57119250.00277265,76159000.00369687,0.0025748499192477497
Blackrock Advisors LLC,GBR,1,307625.0,50430300.0,15381250.0,30762500.0,46143750.0,61525000.0,0.006100003370989267
Government of Brazil,BRA,6,291460.00011414837,53974000.021138586,14573000.005707419,29146000.011414837,43719000.017122254,58292000.022829674,0.005400007410975652
China Nonferrous Metal Mining (Group) Co Ltd,CHN,6,237925.2829737299,11507023.012711901,11896264.148686495,23792528.29737299,35688792.44605948,47585056.59474598,0.020676527952615712
Government of Qatar,QAT,1,204750.0,4500000.0,10237500.0,20475000.0,30712500.0,40950000.0,0.0455
Guangdong Dabaoshan Mining,CHN,1,200220.42826909447,13086302.501248004,10011021.413454724,20022042.826909445,30033064.24036417,40044085.65381889,0.015300000000000001
Mongolyn Alt LLC,MNG,1,178488.95883218895,46970778.640049726,8924447.941609448,17848895.883218896,26773343.82482834,35697791.76643779,0.0037999999999999996
Government of the Democratic Republic of Congo,COD,2,156326.0,3775991.0,7816300.0,15632600.0,23448900.0,31265200.0,0.041399992743626775
Government of the Republic of Zambia,ZMB,1,148568.0527123047,12177709.2387135,7428402.635615234,14856805.271230469,22285207.906845704,29713610.542460937,0.0122
