Mine,Country,Parent,Intensity,Capacity,Production,Cost@$100,Confidence
Abyz Mine,KAZ,Kazakhmys Holding LLP,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Akchi-Spassky Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Aralchinsky Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Belousovskoe Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Itauz Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Karashoshak Mine,KAZ,Government of Kazakhstan,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Kipshakpay Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Kounrad Mine,KAZ,Central Asia Metals PLC,0.0001000020354625,0.68007003526875,193666058.8287099,1936700.008287268,medium
Kundyzdy Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Kusmuryn-Akbastau Mine,KAZ,Kazakhmys Holding LLP,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Nikolayevsky Mine,KAZ,KAZ Minerals PLC,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Nurkazgan Mine,KAZ,Kazakhmys Holding LLP,0.0056000145762539,0.68007003526875,7683730.03287919,4302900.018412394,low
Priorskoye Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Saryoba East Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Saryoba West Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Sayak-1 Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Sayak-2 Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Sayak-3 Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Shatyrkul Mine,KAZ,Kazakhmys Holding LLP,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Stepnoy Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Zhairem Zapadny Mine,KAZ,Eurasian Resources Group SARL,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,medium
Zhezkazgan East Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Zhezkazgan South Mine,KAZ,,0.0056000052712582,0.68007003526875,52359415.22404941,29321300.125467785,low
Zhezkazgan West Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Zhilandinsky Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Zhomart Mine,KAZ,,0.0056,0.68007003526875,132094466.64784828,73972901.32279505,very low
Antamina Mine,PER,The Vanguard Group Inc,0.0025,1.0,245682000.0,61420500.0,medium
Kroondal Mine,ZAF,Public Investment Corporation SOC Ltd,0.005,0.5986813186813187,5448000.0,2724000.0,high
